=============================================================
	iFlyTEK log file
	Subject :    MT Scylla Recognizer Logging
	Continued-Time :    23/07/21-06:35:22 203
	Application: D:\develop\Java\jdk1.8.0_121\bin\java.exe 2021-08-30 17:17:25
	Module:      D:\cdback\app-coalding-topspeed-api\lib\mt_scylla.dll 2023-05-10 09:32:50
	PID: 34624 (0x8740) Version: 1.0.0.32019
=============================================================
[23/07/21-06:35:22 187][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:25 218][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:25 218][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:28 218][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:28 218][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:31 218][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:31 218][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:34 218][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:34 218][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:37 234][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:37 234][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:40 250][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:40 250][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:43 250][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:43 250][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:46 265][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:46 265][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:49 265][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:49 265][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:52 281][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:52 281][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:55 281][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:55 281][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:35:58 281][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:35:58 281][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:36:01 297][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:36:01 297][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:36:04 312][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:36:04 312][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:36:07 312][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:36:07 312][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:36:10 328][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:36:10 328][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
[23/07/21-06:36:13 328][TRC][Px8740][Tx52b0] heart_beat::post_url | enter.
[23/07/21-06:36:13 328][TRC][Px8740][Tx52b0] heart_beat::post_url | leave.
